pitch1_mean,pitch1_std,pitch1_min,pitch1_max,roll1_mean,roll1_std,roll1_min,roll1_max,pitch2_mean,pitch2_std,pitch2_min,pitch2_max,roll2_mean,roll2_std,roll2_min,roll2_max,delta_pitch_mean,delta_pitch_std,delta_pitch_min,delta_pitch_max,fsr1_scaled_mean,fsr1_scaled_std,fsr1_scaled_min,fsr1_scaled_max,fsr2_scaled_mean,fsr2_scaled_std,fsr2_scaled_min,fsr2_scaled_max,fsr_total_mean,fsr_total_std,fsr_total_min,fsr_total_max,fsr_balance_mean,fsr_balance_std,fsr_balance_min,fsr_balance_max,label,session_id,source_file
0.1442,0.044725384291250087,0.04,0.24,0.2672,0.06957125843335019,0.15,0.36,-0.10599999999999998,0.04152107898405339,-0.2,-0.05,0.0246,0.02418346542578214,-0.01,0.08,0.2498,0.030032648900821253,0.21,0.32,0.27899999999999997,0.0036055512754639895,0.27,0.29,0.09959999999999997,0.001959591794226544,0.09,0.1,0.375,0.005385164807134509,0.37,0.39,0.47879999999999995,0.008634813257969162,0.46,0.5,1,0,good_01.csv
0.19619999999999999,0.06872816016743064,0.1,0.32,0.32880000000000004,0.1307614622126871,0.15,0.52,-0.06880000000000001,0.033742554734341026,-0.16,0.01,0.031200000000000002,0.025269744755339336,-0.01,0.08,0.26639999999999997,0.0484049584236987,0.21,0.37,0.27820000000000006,0.003841874542459712,0.27,0.28,0.09939999999999997,0.0023748684174075855,0.09,0.1,0.3738,0.00524976189936268,0.36,0.38,0.4796,0.009156418513807678,0.46,0.5,1,0,good_01.csv
0.23759999999999998,0.05424241882512247,0.14,0.32,0.44299999999999995,0.04382921400162225,0.34,0.52,-0.038200000000000005,0.031603164398521864,-0.08,0.05,0.038000000000000006,0.017320508075688773,-0.01,0.06,0.27759999999999996,0.040819603133788546,0.21,0.37,0.2766,0.004737087712930808,0.27,0.28,0.0966,0.004737087712930809,0.09,0.1,0.37260000000000004,0.005219195340279959,0.36,0.38,0.4831999999999999,0.008588364221433557,0.46,0.5,1,0,good_01.csv
0.18700000000000003,0.07074602462329596,0.02,0.3,0.3718,0.07229633462354783,0.26,0.5,-0.07919999999999999,0.08160490181355529,-0.27,0.05,0.07060000000000001,0.04192421734510973,-0.01,0.15,0.26600000000000007,0.024899799195977467,0.21,0.33,0.2778,0.005399999999999997,0.27,0.29,0.09559999999999999,0.004963869458396348,0.09,0.1,0.374,0.005656854249492385,0.36,0.39,0.48800000000000004,0.008717797887081354,0.48,0.51,1,0,good_01.csv
0.1414,0.06232206671797719,0.02,0.23,0.2526,0.06662762189962959,0.14,0.38,-0.13699999999999998,0.06655073252789935,-0.27,-0.02,0.10420000000000001,0.02298608274587038,0.07,0.15,0.2772,0.037311660375812815,0.19,0.35,0.28,0.004472135954999574,0.26,0.29,0.09839999999999999,0.0036660605559646754,0.09,0.1,0.3767999999999999,0.005810335618533585,0.36,0.39,0.48879999999999996,0.009303762679690412,0.46,0.51,1,0,good_01.csv
0.1796,0.09167246042296455,0.05,0.38,0.2646,0.08345561694697368,0.14,0.42,-0.10099999999999998,0.055901699437494734,-0.24,-0.02,0.10459999999999998,0.021928064210048274,0.07,0.15,0.2802,0.06185434503735369,0.18,0.4,0.2796,0.003440930106817051,0.26,0.29,0.09899999999999999,0.0030000000000000027,0.09,0.1,0.3767999999999999,0.005455272678794347,0.36,0.38,0.4881999999999999,0.008646386528486918,0.46,0.51,1,0,good_01.csv
0.24900000000000003,0.09007219326740079,0.06,0.4,0.35159999999999997,0.04937043649796911,0.24,0.42,-0.063,0.026776855677991766,-0.13,-0.02,0.094,0.024083189157584586,0.05,0.14,0.3114,0.07161033444971474,0.18,0.43,0.2802,0.0013999999999999937,0.28,0.29,0.0984,0.003666060555964676,0.09,0.1,0.3782,0.004331281565541547,0.37,0.39,0.49,0.008000000000000007,0.48,0.51,1,0,good_01.csv
0.2102,0.0935625993653447,0.01,0.4,0.3386,0.041569700504093116,0.27,0.42,-0.08560000000000001,0.05219808425603377,-0.21,-0.01,0.09700000000000002,0.029206163733020468,0.05,0.16,0.29640000000000005,0.06108223964459719,0.2,0.43,0.2806,0.003104834939251997,0.28,0.3,0.09499999999999999,0.005385164807134508,0.09,0.11,0.3766,0.006200000000000005,0.37,0.4,0.4952,0.011702991070662241,0.45,0.53,1,0,good_01.csv
0.1534,0.05992028037317583,0.01,0.24,0.27259999999999995,0.04325783166086807,0.18,0.34,-0.12220000000000003,0.06567465264468476,-0.25,-0.01,0.11539999999999999,0.024266025632558783,0.07,0.18,0.27679999999999993,0.03684779504936489,0.2,0.35,0.2804,0.002799999999999995,0.28,0.3,0.09199999999999997,0.004898979485566358,0.08,0.11,0.3736,0.0062481997407253295,0.36,0.4,0.49859999999999993,0.011833849753989618,0.45,0.54,1,0,good_01.csv
0.21359999999999998,0.06857871389870183,0.05,0.31,0.2848,0.05821477475692919,0.18,0.39,-0.09759999999999999,0.06497876576236271,-0.25,-0.01,0.1208,0.025521755425518832,0.09,0.18,0.3108000000000001,0.023137847782367316,0.26,0.35,0.2802,0.0013999999999999935,0.28,0.29,0.09459999999999998,0.005730619512757764,0.08,0.1,0.37360000000000004,0.0059194594347795025,0.36,0.39,0.495,0.011357816691600556,0.48,0.54,1,0,good_01.csv
