t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4996,-0.06,0.04,-0.00,-0.05,-0.06,0.34,0.29,0.63,0.09,1
4999,-0.05,0.04,0.00,-0.05,-0.05,0.34,0.29,0.63,0.09,1
5002,-0.05,0.02,0.00,-0.05,-0.05,0.34,0.28,0.63,0.10,1
5015,-0.04,-0.01,-0.00,-0.04,-0.04,0.34,0.29,0.63,0.09,1
5018,-0.03,-0.01,-0.01,-0.04,-0.02,0.34,0.29,0.63,0.09,1
5021,-0.04,-0.01,-0.03,-0.05,-0.00,0.34,0.29,0.63,0.09,1
5024,-0.03,-0.01,-0.04,-0.06,0.00,0.34,0.29,0.63,0.08,1
5027,-0.03,-0.01,-0.02,-0.06,-0.02,0.34,0.29,0.63,0.09,1
5040,-0.02,-0.04,-0.01,-0.04,-0.01,0.34,0.29,0.63,0.09,1
5043,-0.01,-0.05,-0.00,-0.04,-0.01,0.35,0.29,0.63,0.09,1
5046,-0.00,-0.05,0.01,-0.04,-0.01,0.35,0.29,0.64,0.09,1
5049,0.00,-0.02,0.01,-0.03,-0.01,0.34,0.30,0.64,0.07,1
5052,-0.01,-0.02,0.01,-0.00,-0.03,0.35,0.29,0.63,0.09,1
5065,-0.02,-0.02,0.01,-0.02,-0.03,0.35,0.29,0.63,0.09,1
5068,-0.01,-0.03,0.01,-0.03,-0.01,0.36,0.29,0.65,0.11,1
5071,0.00,-0.02,-0.01,-0.02,0.01,0.35,0.29,0.63,0.09,1
5074,-0.01,-0.02,-0.02,-0.03,0.01,0.35,0.29,0.64,0.09,1
5077,-0.01,-0.02,-0.03,-0.03,0.02,0.35,0.29,0.63,0.09,1
5090,-0.04,-0.01,-0.04,-0.02,-0.00,0.35,0.28,0.63,0.10,1
5093,-0.04,-0.02,-0.03,-0.01,-0.01,0.35,0.29,0.63,0.09,1
5096,-0.04,-0.04,-0.03,-0.00,-0.01,0.35,0.29,0.63,0.10,1
5099,-0.05,-0.03,-0.04,-0.00,-0.01,0.35,0.29,0.63,0.10,1
5102,-0.05,-0.02,-0.04,-0.00,-0.01,0.35,0.29,0.64,0.09,1
5116,-0.04,-0.02,0.01,0.00,-0.04,0.35,0.29,0.63,0.09,1
5119,-0.02,-0.04,0.00,-0.00,-0.03,0.35,0.29,0.63,0.09,1
5122,-0.01,-0.05,-0.00,0.00,-0.00,0.35,0.29,0.63,0.09,1
5125,-0.01,-0.04,0.00,-0.02,-0.02,0.35,0.29,0.63,0.09,1
5128,-0.01,-0.05,0.00,-0.03,-0.01,0.34,0.29,0.63,0.09,1
5141,-0.00,-0.05,0.01,-0.05,-0.01,0.35,0.29,0.63,0.09,1
5144,-0.01,-0.05,0.02,-0.06,-0.02,0.35,0.29,0.63,0.10,1
5147,-0.01,-0.04,0.01,-0.04,-0.02,0.34,0.28,0.63,0.10,1
5150,-0.01,-0.04,-0.00,-0.06,-0.00,0.35,0.29,0.63,0.10,1
5153,-0.01,-0.05,-0.00,-0.07,-0.00,0.35,0.28,0.63,0.10,1
5166,-0.00,-0.02,-0.06,-0.04,0.05,0.35,0.29,0.63,0.09,1
5169,-0.01,-0.02,-0.06,-0.04,0.05,0.35,0.29,0.63,0.10,1
5172,-0.04,-0.03,-0.05,-0.05,0.01,0.34,0.29,0.63,0.08,1
5175,-0.04,-0.04,-0.06,-0.06,0.02,0.35,0.29,0.63,0.10,1
5178,-0.06,-0.04,-0.06,-0.07,0.00,0.35,0.29,0.63,0.10,1
5191,-0.07,-0.02,-0.06,-0.06,-0.01,0.35,0.29,0.63,0.10,1
5194,-0.05,-0.01,-0.04,-0.06,-0.01,0.35,0.29,0.63,0.10,1
5197,-0.04,-0.02,-0.05,-0.04,0.01,0.35,0.29,0.63,0.09,1
5200,-0.04,-0.01,-0.04,-0.02,-0.00,0.35,0.29,0.63,0.10,1
5203,-0.04,0.01,-0.02,-0.00,-0.01,0.35,0.29,0.63,0.09,1
5216,0.03,0.01,-0.01,0.02,0.04,0.35,0.29,0.63,0.10,1
5219,0.05,0.01,-0.00,0.03,0.05,0.35,0.29,0.63,0.09,1
5222,0.06,0.00,-0.00,0.03,0.06,0.35,0.28,0.63,0.10,1
5225,0.07,-0.01,-0.00,0.04,0.08,0.34,0.28,0.63,0.09,1
5228,0.07,-0.02,-0.01,0.05,0.08,0.34,0.29,0.63,0.09,1
5231,0.05,-0.04,-0.02,0.06,0.06,0.35,0.29,0.63,0.09,1
5244,0.04,-0.07,-0.03,-0.01,0.07,0.34,0.29,0.63,0.09,1
5247,0.04,-0.09,-0.02,-0.01,0.06,0.34,0.28,0.63,0.09,1
5250,0.02,-0.10,-0.02,-0.02,0.04,0.34,0.28,0.63,0.10,1
5253,0.03,-0.12,-0.04,-0.02,0.06,0.35,0.28,0.63,0.10,1
5256,0.02,-0.13,-0.04,-0.02,0.05,0.35,0.29,0.63,0.09,1
5269,-0.02,-0.14,-0.03,-0.05,0.01,0.34,0.28,0.63,0.09,1
5272,-0.04,-0.14,-0.03,-0.05,-0.00,0.34,0.28,0.62,0.10,1
5275,-0.05,-0.13,-0.02,-0.06,-0.02,0.34,0.29,0.63,0.09,1
5278,-0.04,-0.13,-0.02,-0.06,-0.02,0.34,0.28,0.63,0.09,1
5281,-0.06,-0.12,-0.01,-0.06,-0.04,0.34,0.29,0.63,0.09,1
5295,-0.05,-0.11,-0.02,-0.06,-0.03,0.34,0.29,0.63,0.09,1
5298,-0.07,-0.10,-0.02,-0.06,-0.05,0.34,0.28,0.63,0.10,1
5301,-0.05,-0.10,-0.01,-0.04,-0.04,0.36,0.28,0.64,0.12,1
5304,-0.04,-0.09,-0.00,-0.04,-0.03,0.35,0.28,0.63,0.10,1
5307,-0.03,-0.08,-0.01,-0.04,-0.03,0.35,0.28,0.63,0.10,1
5320,-0.01,-0.05,-0.00,-0.03,-0.00,0.35,0.28,0.63,0.10,1
5323,0.00,-0.04,-0.01,-0.04,0.01,0.35,0.28,0.63,0.11,1
5326,0.00,-0.03,-0.01,-0.02,0.01,0.35,0.29,0.63,0.10,1
5329,0.01,-0.01,-0.00,-0.02,0.02,0.34,0.27,0.60,0.12,1
5332,0.02,-0.01,-0.00,-0.02,0.02,0.35,0.28,0.63,0.10,1
5345,0.04,-0.02,-0.00,-0.00,0.04,0.34,0.28,0.63,0.10,1
5348,0.04,-0.02,-0.00,0.00,0.04,0.34,0.29,0.63,0.09,1
5351,0.05,-0.02,0.03,-0.02,0.02,0.34,0.28,0.63,0.09,1
5354,0.05,-0.01,0.04,-0.02,0.01,0.34,0.28,0.63,0.09,1
5357,0.05,-0.00,0.05,-0.01,0.01,0.34,0.28,0.63,0.09,1
5370,0.07,0.03,0.05,-0.04,0.02,0.34,0.28,0.63,0.09,1
5373,0.06,0.01,0.04,-0.03,0.02,0.34,0.29,0.63,0.09,1
5376,0.06,0.00,0.03,-0.03,0.03,0.34,0.28,0.63,0.10,1
5379,0.05,0.01,0.03,-0.02,0.02,0.35,0.28,0.63,0.10,1
5382,0.04,0.02,0.03,-0.02,0.01,0.34,0.28,0.63,0.09,1
5385,0.03,0.03,0.03,-0.01,-0.00,0.34,0.28,0.63,0.10,1
5398,0.03,0.05,0.02,-0.01,0.00,0.34,0.28,0.63,0.10,1
5401,0.03,0.05,0.02,0.00,0.01,0.35,0.28,0.63,0.10,1
5404,0.02,0.06,0.01,-0.00,0.01,0.35,0.29,0.63,0.09,1
5407,0.03,0.05,0.03,0.02,-0.00,0.34,0.28,0.63,0.09,1
5410,0.03,0.07,0.05,0.03,-0.02,0.34,0.28,0.63,0.09,1
5413,0.02,0.08,0.03,0.03,-0.01,0.34,0.28,0.63,0.09,1
5426,0.04,0.08,0.02,0.04,0.02,0.35,0.29,0.64,0.10,1
5429,0.05,0.06,0.03,0.02,0.02,0.34,0.29,0.63,0.09,1
5432,0.06,0.07,0.02,0.02,0.03,0.34,0.29,0.63,0.09,1
5435,0.06,0.06,0.03,0.02,0.03,0.35,0.29,0.63,0.09,1
5438,0.06,0.06,0.04,0.02,0.02,0.34,0.29,0.63,0.09,1
5441,0.06,0.05,0.05,0.02,0.01,0.34,0.29,0.63,0.09,1
5454,0.07,0.03,0.05,0.00,0.02,0.34,0.29,0.63,0.08,1
5457,0.08,0.04,0.04,-0.00,0.03,0.35,0.29,0.63,0.09,1
5460,0.08,0.03,0.03,-0.02,0.04,0.34,0.29,0.63,0.09,1
5463,0.07,0.02,0.05,-0.01,0.03,0.34,0.29,0.63,0.09,1
5465,0.06,-0.00,0.05,-0.01,0.01,0.35,0.29,0.63,0.09,1
5468,0.08,-0.00,0.05,-0.02,0.03,0.34,0.29,0.63,0.09,1
5482,0.02,0.00,0.02,-0.02,0.00,0.34,0.29,0.63,0.09,1
5485,0.01,0.01,0.01,-0.01,-0.01,0.34,0.29,0.63,0.08,1
5487,0.00,-0.00,-0.01,-0.01,0.01,0.34,0.29,0.63,0.08,1
5490,-0.02,-0.00,-0.01,-0.00,-0.01,0.34,0.29,0.63,0.08,1
5493,-0.01,-0.00,-0.01,0.00,0.01,0.34,0.29,0.63,0.09,1
5507,-0.03,0.04,-0.03,-0.00,-0.00,0.34,0.29,0.63,0.08,1
5510,-0.04,0.04,-0.05,-0.01,0.00,0.34,0.29,0.63,0.09,1
5513,-0.04,0.03,-0.06,-0.03,0.02,0.34,0.29,0.63,0.08,1
5516,-0.03,0.03,-0.05,-0.03,0.02,0.34,0.29,0.63,0.08,1
5519,-0.04,0.03,-0.05,-0.03,0.01,0.34,0.29,0.63,0.08,1
5532,-0.04,0.02,-0.06,-0.05,0.02,0.35,0.29,0.64,0.09,1
5535,-0.04,0.01,-0.04,-0.05,-0.00,0.34,0.29,0.63,0.09,1
5538,-0.04,0.01,-0.04,-0.06,-0.00,0.34,0.29,0.63,0.09,1
5541,-0.03,0.01,-0.05,-0.08,0.02,0.34,0.29,0.63,0.09,1
5544,-0.04,0.01,-0.05,-0.07,0.01,0.34,0.29,0.63,0.09,1
5557,-0.05,-0.01,-0.05,-0.06,-0.00,0.34,0.29,0.63,0.09,1
5560,-0.05,-0.01,-0.05,-0.04,-0.00,0.34,0.29,0.63,0.09,1
5563,-0.04,-0.00,-0.03,-0.04,-0.01,0.34,0.29,0.63,0.09,1
5566,-0.04,-0.01,-0.03,-0.04,-0.02,0.35,0.29,0.63,0.09,1
5569,-0.04,-0.02,-0.02,-0.05,-0.02,0.35,0.29,0.63,0.09,1
5582,-0.01,-0.03,0.01,-0.06,-0.02,0.35,0.29,0.63,0.09,1
5585,-0.02,-0.02,0.01,-0.05,-0.02,0.34,0.29,0.63,0.09,1
5588,-0.02,-0.02,0.01,-0.05,-0.03,0.34,0.29,0.63,0.09,1
5591,-0.02,-0.03,0.01,-0.04,-0.03,0.34,0.29,0.63,0.09,1
5594,-0.02,-0.02,0.01,-0.05,-0.03,0.34,0.29,0.63,0.09,1
5607,-0.04,-0.04,0.03,-0.06,-0.06,0.34,0.29,0.63,0.09,1
5610,-0.03,-0.04,0.02,-0.08,-0.06,0.35,0.29,0.63,0.09,1
5613,-0.04,-0.04,0.04,-0.09,-0.08,0.34,0.29,0.63,0.09,1
5616,-0.03,-0.04,0.06,-0.09,-0.09,0.35,0.29,0.63,0.09,1
5619,-0.03,-0.05,0.06,-0.09,-0.09,0.34,0.29,0.63,0.09,1
5632,-0.05,-0.04,0.02,-0.08,-0.07,0.35,0.29,0.63,0.09,1
5635,-0.05,-0.04,0.01,-0.08,-0.06,0.34,0.29,0.63,0.09,1
5638,-0.06,-0.03,-0.00,-0.08,-0.05,0.35,0.29,0.63,0.09,1
5641,-0.05,-0.02,-0.01,-0.08,-0.04,0.34,0.29,0.63,0.09,1
5644,-0.06,-0.01,-0.03,-0.07,-0.03,0.35,0.29,0.63,0.09,1
5658,-0.11,0.01,-0.05,-0.03,-0.06,0.35,0.29,0.64,0.10,1
5661,-0.11,0.01,-0.06,-0.04,-0.06,0.35,0.29,0.64,0.09,1
5664,-0.13,0.02,-0.06,-0.06,-0.07,0.35,0.29,0.64,0.09,1
5667,-0.13,0.02,-0.08,-0.06,-0.05,0.34,0.29,0.63,0.09,1
