t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4992,0.16,0.36,-0.10,0.02,0.26,0.28,0.10,0.38,0.48,1
4996,0.16,0.34,-0.10,0.02,0.26,0.28,0.10,0.37,0.48,1
4999,0.16,0.36,-0.10,0.00,0.26,0.28,0.09,0.37,0.49,1
5012,0.20,0.33,-0.06,0.01,0.25,0.28,0.10,0.38,0.48,1
5015,0.21,0.34,-0.06,0.02,0.26,0.27,0.10,0.37,0.47,1
5018,0.21,0.35,-0.06,0.02,0.27,0.28,0.10,0.38,0.48,1
5021,0.23,0.34,-0.06,0.01,0.29,0.28,0.10,0.38,0.48,1
5024,0.23,0.35,-0.07,0.01,0.29,0.28,0.10,0.37,0.48,1
5026,0.24,0.35,-0.07,0.02,0.30,0.28,0.10,0.37,0.48,1
5040,0.19,0.32,-0.09,0.03,0.29,0.28,0.10,0.38,0.49,1
5043,0.19,0.32,-0.10,0.03,0.29,0.28,0.10,0.38,0.49,1
5046,0.17,0.33,-0.11,0.06,0.28,0.28,0.10,0.38,0.49,1
5048,0.14,0.34,-0.11,0.06,0.25,0.29,0.10,0.39,0.50,1
5051,0.14,0.35,-0.11,0.06,0.25,0.28,0.10,0.38,0.47,1
5054,0.12,0.34,-0.11,0.05,0.23,0.28,0.10,0.38,0.48,1
5068,0.08,0.32,-0.14,0.03,0.22,0.28,0.10,0.38,0.48,1
5070,0.08,0.32,-0.15,0.03,0.23,0.28,0.10,0.37,0.49,1
5073,0.06,0.31,-0.16,0.03,0.21,0.28,0.10,0.37,0.48,1
5076,0.04,0.30,-0.17,0.03,0.22,0.28,0.10,0.38,0.48,1
5079,0.05,0.31,-0.18,0.02,0.23,0.28,0.10,0.38,0.46,1
5092,0.07,0.29,-0.19,0.02,0.26,0.28,0.10,0.38,0.46,1
5095,0.08,0.31,-0.20,0.03,0.28,0.28,0.10,0.38,0.47,1
5098,0.10,0.30,-0.19,0.04,0.29,0.28,0.10,0.38,0.47,1
5101,0.12,0.29,-0.18,0.03,0.30,0.28,0.10,0.37,0.48,1
5104,0.14,0.28,-0.18,0.05,0.32,0.28,0.10,0.38,0.48,1
5107,0.15,0.29,-0.16,0.05,0.31,0.28,0.10,0.38,0.47,1
5120,0.14,0.26,-0.13,0.08,0.27,0.28,0.10,0.37,0.47,1
5123,0.15,0.26,-0.11,0.08,0.26,0.28,0.10,0.37,0.48,1
5126,0.16,0.25,-0.11,0.08,0.27,0.28,0.10,0.38,0.47,1
5129,0.15,0.22,-0.10,0.06,0.26,0.27,0.10,0.37,0.47,1
5132,0.16,0.21,-0.11,0.05,0.27,0.27,0.10,0.37,0.47,1
5135,0.16,0.19,-0.09,0.05,0.24,0.27,0.10,0.37,0.48,1
5148,0.17,0.16,-0.05,0.00,0.22,0.28,0.10,0.38,0.48,1
5151,0.16,0.16,-0.05,-0.00,0.21,0.27,0.10,0.37,0.47,1
5154,0.16,0.16,-0.05,0.01,0.21,0.28,0.10,0.37,0.48,1
5157,0.17,0.16,-0.05,0.01,0.22,0.28,0.10,0.37,0.48,1
5160,0.17,0.15,-0.05,-0.00,0.22,0.28,0.10,0.37,0.48,1
5173,0.16,0.17,-0.07,-0.00,0.23,0.28,0.10,0.37,0.49,1
5176,0.16,0.16,-0.08,-0.01,0.24,0.28,0.10,0.37,0.48,1
5179,0.15,0.16,-0.07,-0.01,0.23,0.28,0.09,0.37,0.50,1
5182,0.15,0.16,-0.08,-0.00,0.24,0.28,0.10,0.37,0.48,1
5185,0.15,0.16,-0.09,-0.01,0.24,0.28,0.10,0.38,0.49,1
5198,0.14,0.20,-0.08,-0.00,0.23,0.28,0.10,0.37,0.48,1
5201,0.12,0.21,-0.10,0.00,0.21,0.28,0.10,0.37,0.48,1
5204,0.10,0.21,-0.11,0.01,0.21,0.28,0.10,0.38,0.46,1
5207,0.10,0.23,-0.11,0.01,0.21,0.27,0.10,0.37,0.48,1
5210,0.11,0.24,-0.11,-0.00,0.22,0.28,0.10,0.37,0.48,1
5213,0.11,0.25,-0.11,-0.00,0.22,0.28,0.10,0.37,0.48,1
5226,0.14,0.28,-0.10,0.02,0.23,0.28,0.10,0.38,0.48,1
5229,0.15,0.31,-0.08,0.02,0.23,0.28,0.10,0.38,0.47,1
5232,0.14,0.34,-0.06,0.02,0.21,0.28,0.10,0.38,0.47,1
5235,0.16,0.35,-0.07,0.03,0.23,0.28,0.10,0.38,0.46,1
5238,0.17,0.36,-0.06,0.03,0.24,0.28,0.10,0.38,0.47,1
5251,0.16,0.37,-0.08,0.04,0.24,0.28,0.10,0.37,0.48,1
5254,0.15,0.39,-0.08,0.04,0.24,0.28,0.10,0.38,0.47,1
5257,0.17,0.41,-0.08,0.03,0.24,0.28,0.10,0.38,0.46,1
5260,0.18,0.42,-0.08,0.05,0.26,0.28,0.10,0.37,0.48,1
5263,0.19,0.42,-0.08,0.05,0.26,0.27,0.09,0.36,0.48,1
5266,0.20,0.44,-0.07,0.04,0.27,0.28,0.10,0.37,0.49,1
5279,0.24,0.43,-0.05,0.06,0.29,0.28,0.10,0.38,0.49,1
5282,0.24,0.44,-0.05,0.05,0.30,0.28,0.10,0.38,0.49,1
