t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4993,-0.20,-0.05,-0.06,0.00,-0.13,0.34,0.28,0.63,0.09,1
4996,-0.18,-0.05,-0.07,0.00,-0.11,0.34,0.28,0.62,0.09,1
4999,-0.18,-0.06,-0.06,0.00,-0.11,0.34,0.28,0.63,0.09,1
5012,-0.15,-0.04,-0.06,0.01,-0.09,0.34,0.28,0.62,0.09,1
5015,-0.14,-0.05,-0.06,0.03,-0.08,0.34,0.29,0.62,0.08,1
5018,-0.13,-0.05,-0.05,0.03,-0.08,0.34,0.28,0.63,0.09,1
5021,-0.14,-0.07,-0.04,0.05,-0.09,0.34,0.29,0.63,0.09,1
5024,-0.11,-0.07,-0.05,0.05,-0.06,0.34,0.28,0.63,0.09,1
5037,-0.13,-0.10,-0.02,0.06,-0.10,0.34,0.28,0.63,0.09,1
5040,-0.11,-0.11,-0.00,0.07,-0.11,0.34,0.28,0.63,0.10,1
5043,-0.11,-0.14,-0.01,0.05,-0.10,0.34,0.28,0.63,0.10,1
5046,-0.12,-0.16,0.01,0.04,-0.13,0.34,0.28,0.63,0.10,1
5049,-0.12,-0.16,0.03,0.05,-0.16,0.34,0.28,0.63,0.10,1
5062,-0.10,-0.19,0.03,-0.01,-0.13,0.34,0.28,0.63,0.10,1
5065,-0.09,-0.19,0.02,-0.02,-0.11,0.35,0.28,0.63,0.10,1
5068,-0.10,-0.21,0.01,-0.02,-0.10,0.34,0.28,0.63,0.10,1
5071,-0.11,-0.21,0.01,-0.02,-0.12,0.35,0.29,0.63,0.09,1
5074,-0.12,-0.21,-0.00,-0.02,-0.12,0.34,0.28,0.63,0.09,1
5087,-0.13,-0.20,-0.06,-0.04,-0.08,0.35,0.28,0.64,0.11,1
5090,-0.14,-0.19,-0.05,-0.03,-0.09,0.34,0.29,0.63,0.09,1
5093,-0.14,-0.19,-0.04,-0.04,-0.10,0.35,0.28,0.63,0.10,1
5096,-0.15,-0.19,-0.05,-0.03,-0.10,0.34,0.28,0.63,0.10,1
5099,-0.16,-0.17,-0.05,-0.02,-0.11,0.35,0.28,0.63,0.10,1
5113,-0.16,-0.14,-0.05,-0.03,-0.11,0.35,0.28,0.63,0.10,1
5116,-0.15,-0.13,-0.05,-0.03,-0.10,0.35,0.28,0.63,0.10,1
5119,-0.14,-0.13,-0.04,-0.02,-0.10,0.34,0.28,0.62,0.09,1
5122,-0.13,-0.12,-0.04,-0.02,-0.10,0.34,0.28,0.63,0.10,1
5125,-0.14,-0.11,-0.02,-0.03,-0.12,0.34,0.28,0.63,0.10,1
5138,-0.15,-0.11,-0.01,-0.02,-0.14,0.34,0.28,0.62,0.10,1
5141,-0.15,-0.09,-0.02,-0.02,-0.13,0.34,0.28,0.62,0.09,1
5144,-0.14,-0.09,-0.03,-0.03,-0.10,0.32,0.28,0.60,0.06,1
5147,-0.14,-0.08,-0.03,-0.02,-0.11,0.34,0.28,0.62,0.09,1
5150,-0.13,-0.08,-0.03,0.01,-0.11,0.34,0.28,0.63,0.10,1
5163,-0.12,-0.05,-0.01,0.03,-0.11,0.34,0.28,0.62,0.09,1
5166,-0.12,-0.04,-0.01,0.04,-0.11,0.34,0.28,0.63,0.09,1
5169,-0.14,-0.03,-0.01,0.05,-0.13,0.34,0.28,0.63,0.09,1
5172,-0.14,-0.03,-0.01,0.05,-0.13,0.33,0.28,0.61,0.07,1
5175,-0.11,-0.01,-0.02,0.06,-0.09,0.34,0.28,0.62,0.09,1
5188,-0.07,-0.00,-0.01,0.07,-0.06,0.34,0.28,0.63,0.09,1
5191,-0.07,0.01,-0.00,0.08,-0.07,0.34,0.28,0.63,0.09,1
5194,-0.07,0.03,-0.01,0.07,-0.06,0.34,0.28,0.63,0.09,1
5197,-0.06,0.04,-0.01,0.06,-0.04,0.34,0.28,0.63,0.09,1
5200,-0.04,0.04,-0.02,0.06,-0.02,0.34,0.28,0.63,0.09,1
5213,-0.01,0.08,0.01,0.07,-0.02,0.34,0.29,0.63,0.09,1
5216,0.01,0.07,0.02,0.07,-0.01,0.34,0.29,0.63,0.09,1
5219,0.02,0.06,0.02,0.06,-0.00,0.34,0.28,0.62,0.10,1
5222,0.02,0.06,0.03,0.06,-0.01,0.34,0.29,0.63,0.09,1
5225,0.02,0.08,0.03,0.06,-0.02,0.34,0.29,0.63,0.09,1
5228,0.02,0.07,0.05,0.07,-0.03,0.34,0.29,0.63,0.09,1
5241,0.03,0.06,0.07,0.07,-0.05,0.34,0.29,0.63,0.09,1
5244,0.02,0.06,0.07,0.06,-0.05,0.35,0.29,0.64,0.09,1
5247,0.02,0.07,0.08,0.06,-0.05,0.34,0.29,0.63,0.09,1
5250,0.03,0.07,0.09,0.06,-0.07,0.35,0.29,0.64,0.09,1
5253,0.03,0.08,0.07,0.06,-0.04,0.34,0.29,0.63,0.09,1
5256,0.02,0.07,0.07,0.07,-0.05,0.34,0.29,0.63,0.09,1
