t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4996,0.00,0.05,-0.04,-0.06,0.04,0.20,0.14,0.34,0.17,0
4999,0.01,0.04,-0.04,-0.05,0.05,0.20,0.15,0.35,0.15,0
5002,0.01,0.04,-0.03,-0.06,0.04,0.20,0.15,0.35,0.13,0
5015,0.01,0.03,-0.01,-0.03,0.02,0.20,0.15,0.35,0.15,0
5018,0.03,0.04,0.00,-0.03,0.03,0.19,0.15,0.34,0.12,0
5021,0.04,0.03,0.02,-0.03,0.02,0.19,0.15,0.34,0.12,0
5024,0.06,0.02,0.04,-0.02,0.02,0.19,0.15,0.34,0.12,0
5027,0.06,0.02,0.05,-0.03,0.02,0.19,0.15,0.34,0.12,0
5030,0.06,-0.00,0.05,-0.04,0.01,0.19,0.15,0.34,0.12,0
5043,0.07,-0.08,0.03,-0.09,0.04,0.18,0.15,0.33,0.08,0
5046,0.07,-0.09,0.03,-0.11,0.04,0.19,0.15,0.34,0.13,0
5049,0.06,-0.09,0.03,-0.12,0.03,0.19,0.15,0.34,0.12,0
5052,0.04,-0.10,0.03,-0.13,0.01,0.19,0.15,0.34,0.12,0
5055,0.04,-0.09,0.03,-0.12,0.01,0.19,0.15,0.34,0.12,0
5068,-0.01,-0.07,-0.02,-0.13,0.01,0.19,0.15,0.35,0.12,0
5071,-0.00,-0.07,-0.04,-0.15,0.04,0.19,0.15,0.34,0.13,0
5074,-0.00,-0.05,-0.04,-0.14,0.04,0.19,0.15,0.34,0.13,0
5077,-0.01,-0.04,-0.03,-0.14,0.03,0.19,0.15,0.34,0.11,0
5080,-0.02,-0.05,-0.03,-0.14,0.01,0.19,0.13,0.33,0.18,0
5093,-0.01,0.01,-0.04,-0.13,0.03,0.19,0.15,0.34,0.11,0
5096,-0.02,0.01,-0.03,-0.13,0.01,0.19,0.15,0.34,0.12,0
5099,-0.03,0.02,-0.02,-0.13,-0.01,0.19,0.15,0.34,0.11,0
5102,-0.04,0.02,-0.03,-0.12,-0.01,0.19,0.15,0.34,0.12,0
5105,-0.05,0.02,-0.02,-0.13,-0.03,0.19,0.15,0.34,0.13,0
5118,-0.01,0.03,-0.02,-0.15,0.00,0.19,0.15,0.34,0.12,0
5121,-0.00,0.02,-0.01,-0.15,0.01,0.19,0.15,0.34,0.12,0
5124,0.01,0.03,0.00,-0.12,0.01,0.19,0.15,0.34,0.11,0
5127,0.04,0.03,0.01,-0.12,0.02,0.18,0.15,0.33,0.11,0
5130,0.05,0.04,0.02,-0.11,0.03,0.19,0.15,0.33,0.12,0
5133,0.05,0.05,0.02,-0.12,0.03,0.19,0.15,0.34,0.12,0
5146,0.07,0.06,0.06,-0.11,0.00,0.19,0.15,0.33,0.12,0
5149,0.07,0.06,0.06,-0.11,0.01,0.19,0.15,0.33,0.12,0
5152,0.06,0.05,0.06,-0.11,0.00,0.19,0.15,0.33,0.12,0
5155,0.08,0.04,0.07,-0.09,0.01,0.18,0.15,0.33,0.10,0
5158,0.08,0.07,0.07,-0.09,0.01,0.18,0.15,0.33,0.11,0
5171,0.07,0.10,0.05,-0.07,0.03,0.19,0.15,0.33,0.12,0
5174,0.07,0.11,0.04,-0.08,0.03,0.19,0.15,0.34,0.13,0
5177,0.06,0.12,0.03,-0.06,0.03,0.19,0.15,0.33,0.12,0
5180,0.07,0.11,0.02,-0.07,0.04,0.19,0.15,0.34,0.12,0
5183,0.07,0.12,0.02,-0.05,0.04,0.19,0.15,0.34,0.12,0
5186,0.06,0.12,0.02,-0.06,0.03,0.19,0.15,0.34,0.12,0
5199,0.05,0.11,0.01,-0.04,0.04,0.19,0.15,0.34,0.11,0
