t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4996,-0.05,-0.02,-0.03,-0.03,-0.02,0.30,0.35,0.65,-0.09,0
4999,-0.04,-0.02,-0.01,-0.03,-0.03,0.29,0.35,0.65,-0.09,0
5002,-0.03,-0.03,-0.01,-0.03,-0.03,0.29,0.35,0.64,-0.09,0
5015,-0.06,0.09,-0.01,-0.06,-0.05,0.29,0.35,0.65,-0.09,0
5018,-0.07,0.11,0.02,-0.04,-0.09,0.29,0.35,0.65,-0.09,0
5021,-0.06,0.15,0.02,-0.03,-0.08,0.30,0.35,0.65,-0.09,0
5024,-0.04,0.18,0.03,-0.02,-0.07,0.30,0.35,0.65,-0.09,0
5027,-0.02,0.20,0.04,-0.01,-0.07,0.30,0.35,0.65,-0.09,0
5040,0.08,0.29,0.16,0.03,-0.08,0.32,0.35,0.67,-0.05,0
5043,0.10,0.30,0.19,0.03,-0.09,0.29,0.36,0.65,-0.11,0
5046,0.11,0.33,0.21,0.03,-0.10,0.30,0.35,0.65,-0.09,0
5049,0.11,0.32,0.25,0.04,-0.14,0.30,0.36,0.65,-0.09,0
5052,0.12,0.34,0.24,0.04,-0.12,0.30,0.36,0.65,-0.09,0
5055,0.12,0.37,0.23,0.05,-0.11,0.29,0.35,0.65,-0.10,0
5068,0.08,0.39,0.20,0.06,-0.12,0.29,0.35,0.65,-0.09,0
5071,0.05,0.38,0.19,0.06,-0.13,0.30,0.35,0.65,-0.09,0
5074,0.03,0.39,0.17,0.05,-0.15,0.29,0.35,0.65,-0.09,0
5077,0.01,0.41,0.15,0.05,-0.14,0.30,0.36,0.65,-0.09,0
5080,-0.02,0.44,0.13,0.06,-0.15,0.30,0.35,0.65,-0.08,0
5093,-0.10,0.58,0.05,0.11,-0.15,0.30,0.35,0.65,-0.09,0
5096,-0.12,0.61,0.03,0.11,-0.15,0.30,0.35,0.65,-0.08,0
5099,-0.12,0.65,0.02,0.12,-0.14,0.30,0.35,0.65,-0.08,0
5102,-0.12,0.68,0.02,0.12,-0.13,0.29,0.35,0.64,-0.09,0
5105,-0.11,0.70,0.02,0.13,-0.13,0.29,0.35,0.64,-0.09,0
5118,-0.12,0.75,0.02,0.13,-0.15,0.30,0.35,0.64,-0.08,0
5121,-0.11,0.74,0.05,0.13,-0.16,0.30,0.35,0.65,-0.08,0
5124,-0.12,0.73,0.06,0.14,-0.18,0.30,0.35,0.64,-0.07,0
5127,-0.12,0.70,0.08,0.12,-0.20,0.30,0.35,0.65,-0.07,0
5130,-0.12,0.67,0.09,0.12,-0.21,0.30,0.35,0.65,-0.08,0
5144,-0.17,0.60,0.06,0.11,-0.22,0.30,0.35,0.65,-0.07,0
5147,-0.17,0.61,0.03,0.14,-0.20,0.30,0.35,0.65,-0.07,0
5150,-0.18,0.62,0.02,0.15,-0.20,0.30,0.35,0.65,-0.07,0
5153,-0.18,0.64,0.01,0.15,-0.18,0.31,0.35,0.66,-0.06,0
5156,-0.17,0.69,0.01,0.16,-0.18,0.30,0.35,0.65,-0.07,0
5169,-0.07,0.81,0.11,0.26,-0.18,0.30,0.35,0.65,-0.08,0
5172,-0.03,0.83,0.14,0.27,-0.17,0.30,0.35,0.66,-0.08,0
5175,-0.01,0.86,0.14,0.28,-0.16,0.30,0.34,0.65,-0.06,0
5178,0.02,0.87,0.16,0.27,-0.14,0.30,0.35,0.65,-0.08,0
5181,0.04,0.88,0.19,0.25,-0.15,0.30,0.35,0.65,-0.07,0
5194,0.12,0.95,0.27,0.31,-0.15,0.30,0.36,0.66,-0.08,0
5197,0.13,0.93,0.27,0.35,-0.14,0.31,0.37,0.67,-0.09,0
5200,0.15,0.92,0.28,0.37,-0.13,0.30,0.36,0.67,-0.08,0
5203,0.17,0.90,0.28,0.40,-0.11,0.29,0.37,0.65,-0.12,0
5206,0.18,0.87,0.29,0.39,-0.12,0.31,0.37,0.68,-0.09,0
5209,0.19,0.83,0.31,0.39,-0.12,0.31,0.37,0.67,-0.09,0
5222,0.29,0.68,0.37,0.38,-0.08,0.31,0.37,0.68,-0.09,0
5225,0.30,0.70,0.37,0.39,-0.07,0.31,0.37,0.68,-0.09,0
5228,0.31,0.73,0.37,0.42,-0.05,0.31,0.37,0.68,-0.09,0
5231,0.33,0.74,0.36,0.46,-0.03,0.31,0.37,0.68,-0.09,0
5234,0.33,0.77,0.35,0.49,-0.01,0.31,0.38,0.69,-0.09,0
5247,0.37,0.78,0.39,0.61,-0.02,0.31,0.38,0.69,-0.10,0
5250,0.37,0.77,0.39,0.62,-0.02,0.31,0.38,0.69,-0.10,0
5253,0.36,0.76,0.39,0.61,-0.03,0.31,0.38,0.69,-0.10,0
5256,0.34,0.75,0.38,0.62,-0.04,0.31,0.38,0.69,-0.10,0
5259,0.34,0.72,0.38,0.62,-0.04,0.30,0.38,0.68,-0.11,0
5272,0.39,0.65,0.39,0.69,-0.00,0.31,0.37,0.69,-0.09,0
5275,0.38,0.64,0.40,0.71,-0.01,0.31,0.37,0.68,-0.09,0
5278,0.39,0.62,0.41,0.72,-0.02,0.31,0.37,0.69,-0.09,0
5281,0.41,0.58,0.41,0.74,0.00,0.32,0.37,0.69,-0.08,0
5284,0.41,0.55,0.44,0.75,-0.03,0.32,0.37,0.69,-0.08,0
