t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4996,0.09,0.24,0.04,0.04,0.04,0.25,0.22,0.47,0.08,1
4999,0.10,0.24,0.05,0.04,0.05,0.25,0.22,0.47,0.08,1
5002,0.10,0.26,0.06,0.05,0.04,0.25,0.22,0.47,0.08,1
5015,0.04,0.27,0.04,0.05,0.00,0.25,0.22,0.47,0.08,1
5018,0.03,0.27,0.03,0.04,-0.00,0.25,0.22,0.47,0.08,1
5021,0.03,0.26,0.02,0.05,0.01,0.25,0.22,0.47,0.08,1
5024,0.01,0.26,0.02,0.04,-0.01,0.25,0.22,0.47,0.08,1
5027,0.01,0.27,0.02,0.04,-0.02,0.25,0.22,0.47,0.07,1
5030,0.01,0.27,0.03,0.05,-0.02,0.25,0.22,0.47,0.07,1
5043,-0.02,0.25,0.01,0.04,-0.03,0.25,0.20,0.45,0.11,1
5046,-0.03,0.25,0.01,0.05,-0.04,0.25,0.22,0.47,0.08,1
5049,-0.04,0.23,0.01,0.05,-0.05,0.26,0.22,0.47,0.09,1
5052,-0.04,0.23,-0.02,0.04,-0.02,0.25,0.22,0.47,0.08,1
5055,-0.04,0.23,-0.03,0.04,-0.01,0.23,0.22,0.46,0.02,1
5068,-0.06,0.20,-0.06,0.03,0.01,0.25,0.22,0.47,0.08,1
5071,-0.07,0.19,-0.08,0.01,0.01,0.26,0.22,0.47,0.09,1
5074,-0.07,0.17,-0.07,0.01,0.00,0.25,0.21,0.46,0.09,1
5077,-0.07,0.18,-0.06,0.01,-0.01,0.25,0.21,0.47,0.08,1
5080,-0.04,0.18,-0.06,0.01,0.02,0.25,0.22,0.47,0.07,1
5093,-0.04,0.18,-0.05,-0.01,0.01,0.25,0.22,0.47,0.08,1
5096,-0.03,0.20,-0.04,-0.02,0.01,0.25,0.22,0.47,0.08,1
5099,-0.04,0.20,-0.04,-0.03,0.01,0.25,0.22,0.47,0.08,1
5102,-0.04,0.21,-0.05,-0.03,0.01,0.25,0.22,0.47,0.07,1
5105,-0.04,0.22,-0.06,-0.02,0.01,0.25,0.22,0.47,0.07,1
5118,-0.04,0.21,-0.06,-0.04,0.02,0.25,0.22,0.47,0.07,1
5121,-0.06,0.20,-0.05,-0.03,-0.00,0.25,0.22,0.47,0.07,1
5124,-0.07,0.19,-0.04,-0.04,-0.03,0.25,0.22,0.47,0.07,1
5127,-0.06,0.18,-0.03,-0.03,-0.04,0.25,0.22,0.47,0.07,1
5130,-0.06,0.18,-0.02,-0.03,-0.04,0.25,0.22,0.47,0.07,1
5143,-0.05,0.21,-0.03,-0.06,-0.02,0.25,0.22,0.48,0.06,1
5146,-0.06,0.20,-0.02,-0.06,-0.04,0.25,0.22,0.47,0.06,1
5149,-0.06,0.20,-0.01,-0.07,-0.04,0.25,0.22,0.47,0.06,1
5152,-0.06,0.18,-0.02,-0.05,-0.04,0.25,0.22,0.48,0.06,1
5155,-0.08,0.17,-0.01,-0.04,-0.08,0.25,0.22,0.47,0.06,1
5168,-0.07,0.16,0.03,-0.05,-0.10,0.25,0.22,0.48,0.06,1
5171,-0.07,0.16,0.03,-0.03,-0.10,0.25,0.22,0.47,0.06,1
5174,-0.08,0.17,0.03,-0.03,-0.11,0.25,0.22,0.47,0.07,1
5177,-0.08,0.17,0.04,-0.04,-0.12,0.25,0.22,0.47,0.06,1
5180,-0.07,0.18,0.05,-0.04,-0.12,0.25,0.22,0.48,0.07,1
5193,-0.04,0.18,0.01,-0.03,-0.06,0.25,0.22,0.48,0.06,1
5196,-0.05,0.18,0.02,-0.01,-0.07,0.26,0.22,0.48,0.07,1
5199,-0.06,0.18,0.03,-0.01,-0.08,0.25,0.23,0.47,0.04,1
5202,-0.06,0.20,0.03,0.00,-0.09,0.25,0.22,0.48,0.07,1
5205,-0.07,0.17,0.02,0.00,-0.10,0.25,0.22,0.48,0.07,1
5219,-0.09,0.19,-0.02,0.03,-0.07,0.25,0.22,0.48,0.06,1
5221,-0.09,0.19,-0.03,0.02,-0.07,0.26,0.22,0.48,0.07,1
5224,-0.10,0.20,-0.04,0.04,-0.06,0.25,0.22,0.48,0.06,1
5227,-0.10,0.20,-0.05,0.03,-0.05,0.26,0.22,0.48,0.07,1
5230,-0.11,0.20,-0.06,0.02,-0.05,0.26,0.22,0.48,0.07,1
5244,-0.14,0.21,-0.07,0.02,-0.07,0.26,0.22,0.48,0.07,1
5247,-0.15,0.22,-0.06,0.00,-0.09,0.26,0.22,0.48,0.07,1
